CountryName,CountryCode,FeFertilityRate2020,FeLabourRate2020,FeSchoolEnrol2020,FeLifeExpect2020,DeathRateInfant2020
Other small states,OSS,2.887702831,50.42049345,76.01898193,70.21811838,34.30454062
Pakistan,PAK,3.555,23.22599983,,68.825,54.4
Panama,PAN,2.344,51.69100189,,80.034,12.4
Peru,PER,2.216,59.92399979,106.9075165,76.816,11.3
Philippines,PHL,2.777,42.51900101,95.69924164,73.997,21
Palau,PLW,,,157.9795074,,15.7
Papua New Guinea,PNG,3.274,46.1969986,,68.804,35.4
Poland,POL,1.38,48.68999863,114.4409714,80.8,3.7
Pre-demographic dividend,PRE,4.916276205,55.05658512,,62.04854118,53.4122889
Puerto Rico,PRI,0.9,30.94199944,,82.588,
"Korea, Dem. People's Rep.",PRK,1.818,68.3690033,,75.725,11.6
Portugal,PRT,1.4,53.59799957,120.0146027,84.1,2.7
Paraguay,PRY,2.497,57.10900116,,76.156,16.1
West Bank and Gaza,PSE,3.57,16.40099907,95.46589661,76.683,13.2
Pacific island small states,PSS,3.281412802,53.47204338,75.8558197,71.47061736,20.1221342
Post-demographic dividend,PST,1.475143968,53.61357208,104.404007,82.98037257,4.010326143
French Polynesia,PYF,1.705,49.09999847,,85.834,
Qatar,QAT,1.816,59.79100037,,80.679,4.8
Romania,ROU,1.6,45.4280014,87.32649994,78.4,5.5
Russian Federation,RUS,1.505,54.80699921,,76.43,4.4
Rwanda,RWA,3.873,50.68600082,,68.996,30.4
South Asia,SAS,2.267097783,24.17961892,71.05934906,71.61330382,32.1
Saudi Arabia,SAU,2.465,29.54800034,108.3136902,77.992,6
Sudan,SDN,4.542,28.68099976,,68.208,39.9
Senegal,SEN,4.454,37.29000092,50.08958054,70.271,30
Singapore,SGP,1.1,62.44400024,102.7175369,86.1,1.8
Solomon Islands,SLB,4.038,81.50800323,,71.802,16.6
Sierra Leone,SLE,4.08,51.02899933,,61.116,80.5
El Salvador,SLV,1.819,42.64400101,,75.413,11.1
